,GICS Sector,Symbol
0,Information Technology,TRMB
1,Information Technology,GEN
2,Information Technology,BR
3,Information Technology,FTNT
4,Information Technology,FLT
5,Information Technology,ACN
6,Information Technology,CRM
7,Information Technology,INTC
8,Information Technology,ANSS
9,Information Technology,DXC
10,Information Technology,AKAM
11,Information Technology,PAYX
12,Information Technology,INTU
13,Information Technology,ADI
14,Information Technology,FFIV
15,Information Technology,CTSH
16,Information Technology,ADBE
17,Information Technology,MSFT
18,Information Technology,JKHY
19,Information Technology,STX
20,Information Technology,ADSK
21,Information Technology,APH
22,Information Technology,AAPL
23,Information Technology,WDC
24,Information Technology,SWKS
25,Information Technology,AMD
26,Information Technology,ADP
27,Information Technology,QCOM
28,Information Technology,AVGO
29,Information Technology,AMAT
30,Information Technology,SNPS
31,Information Technology,ENPH
32,Information Technology,TXN
33,Information Technology,NOW
34,Information Technology,V
35,Information Technology,KLAC
36,Information Technology,FISV
37,Information Technology,VRSN
38,Information Technology,ON
39,Information Technology,MU
40,Information Technology,TER
41,Information Technology,ORCL
42,Information Technology,HPQ
43,Information Technology,FIS
44,Information Technology,EPAM
45,Information Technology,PTC
46,Information Technology,MA
47,Information Technology,LRCX
48,Information Technology,TYL
49,Information Technology,ZBRA
50,Information Technology,IT
51,Information Technology,CSCO
52,Information Technology,NVDA
53,Information Technology,TEL
54,Information Technology,JNPR
55,Information Technology,TDY
56,Information Technology,NTAP
57,Information Technology,IBM
58,Information Technology,MSI
59,Information Technology,CDNS
60,Information Technology,MCHP
61,Information Technology,MPWR
62,Information Technology,GPN
63,Information Technology,NXPI
64,Information Technology,ROP
65,Information Technology,GLW
